Study_Hours,Exam_Score
11.96469186,90.7877556
7.86139335,84.77489674
7.268514536,65.33511699
10.51314769,76.34550202
12.1946897,95.30263022
9.231064601,73.70288013
14.80764198,94.5713421
11.84829739,90.891472
9.809319015,83.881489
8.921175182,85.53795646
8.431780162,82.77356117
12.29049707,92.21845457
9.385722447,74.29362377
5.596778966,70.76465024
8.980442553,78.51268763
12.37995406,80.50853487
6.824917305,77.56124715
6.754517561,74.29973536
10.31551374,81.17399162
10.31827587,79.78936731
11.34400959,78.04052303
13.49431794,91.48057419
12.24455325,89.07585534
11.11023511,79.1749304
12.22443383,92.48432172
8.229589139,69.20275218
8.617886556,65.23815792
7.282632309,77.04653238
7.937140464,71.7945912
11.30976124,83.29913579
5.921049399,63.57556458
9.337011727,69.98122138
9.308627633,84.20206977
9.936850977,76.36620801
9.258302903,86.07967115
8.12261223,78.40437762
9.26351307,76.21674848
13.93389163,86.37216289
14.44160018,89.66249061
10.01836676,73.99248462
11.23952952,94.15415535
6.156183951,69.290758
8.172854818,80.26959217
9.14826212,71.10802611
13.66309158,91.89445038
7.504553654,78.40297066
9.830342643,77.81597412
14.85559786,99.72236586
10.19485119,75.16171402
11.12894526,76.56947805
